,is_clickbait,text
0,1,Should I Get Bings
1,1,Which TV Female Friend Group Do You Belong In
2,1,"The New ""Star Wars: The Force Awakens"" Trailer Is Here To Give You Chills"
3,1,"This Vine Of New York On ""Celebrity Big Brother"" Is Fucking Perfect"
4,1,A Couple Did A Stunning Photo Shoot With Their Baby After Learning She Had An Inoperable Brain Tumor
5,1,How To Flirt With Queer Girls Without Making A Total Fool Of Yourself
6,1,32 Cute Things To Distract From Your Awkward Thanksgiving
7,1,If Disney Princesses Were From Florida
8,1,What's A Quote Or Lyric That Best Describes Your Depression
9,1,"Natalie Dormer And Sam Claflin Play A Game To See How They'd Actually Last In ""The Hunger Games"""
10,1,16 Perfect Responses To The Indian Patriarchy
11,1,"21 Times I Died During The ""Captain America: Civil War"" Teaser"
12,1,17 Times Kourtney Kardashian Shut Down Her Own Family
13,1,Does Coffee Make You Poop
14,1,Who Is Your Celebrity Ex Based On Your Zodiac
15,1,17 Hairdresser Struggles Every Black Girl Knows To Be True
16,1,Are You More Walter White Or Heisenberg
17,1,The Most Canadian Groom Ever Left His Wedding To Plow Out His Guests In A Snow Storm
18,1,Here's One Really Weird Thing About Butterfree
19,1,15 Resolutions To Make Good On In 2016
20,1,What New Thing Should You Try In 2016
21,1,Zoo Animals Around The World Are Opening Their Christmas Presents Early
22,1,Tell Us About Yourself(ie): Erica Ash
23,1,9 Times I Cried
24,1,21 Vegetarian Dump Dinners For The Crock Pot
25,1,This Goat Has Been Bullying His Tiger Friend
26,1,"8 Fall Shows To Be Excited About, 10 To Give A Chance, And 6 To Avoid"
27,1,"Another Round, Episode 25: Stop Telling Women To Smile"
28,1,16 Signs You Are Too Stubborn To Live
29,1,This Country Singer Makes Music On His Game Boy In His Spare Time
30,1,When You Realize Every Guy Is Taken
31,1,"An Awesome Look At The Behind-The-Scenes Concept Art Of ""Aladdin"""
32,1,"Sarah Jessica Parker Talks Being A Carrie, ""Hocus Pocus,"" And Her Love Of New York"
33,1,Which Type Of Swearer Are You
34,1,A Dad Recorded All The Adorable Questions His Son Asked When Watching Star Wars For The First Time
35,1,"29 Impossibly Stylish Cat Gifts, In Order Of Awesomeness"
36,1,13 Of The Most Glorious Made-Up Words From Literature
37,1,We Pranked A Bunch Of People By Dropping An iPhone In Front Of Them
38,1,23 Flaws Every Sneakerhead Has
39,1,We Know Your Zodiac Sign Based On Which Cat You Choose
40,1,"Grimes On Her New Album And The Heartbreaking Inspiration Behind ""Oblivion"""
